time_s,i_alpha,id,iq,duty,use_park
0.009600,0.969264,0.592259,1.590492,-0.062583,0
0.009650,0.969337,0.642151,1.570431,-0.052400,0
0.009700,0.969410,0.691364,1.548814,-0.042145,0
0.009750,0.969483,0.739852,1.525666,-0.031828,0
0.009800,0.969555,0.787566,1.501011,-0.021459,0
0.009850,0.969627,0.834461,1.474874,-0.011050,0
0.009900,0.969700,0.880489,1.447285,-0.000609,0
0.009950,0.969772,0.925607,1.418270,0.009852,0
0.010000,0.969843,0.969772,1.387862,0.020323,0
0.010050,0.969915,1.012939,1.356091,0.030795,0
0.010100,0.969986,1.055068,1.322989,0.041256,0
0.010150,0.970058,1.096118,1.288592,0.051696,0
0.010200,0.970129,1.136050,1.252934,0.062106,0
0.010250,0.970200,1.174825,1.216052,0.072474,0
0.010300,0.970270,1.212407,1.177983,0.082791,0
0.010350,0.970341,1.248758,1.138766,0.093046,0
0.010400,0.970411,1.283846,1.098440,0.103229,0
0.010450,0.970481,1.317636,1.057047,0.113331,0
0.010500,0.970552,1.350097,1.014627,0.123341,0
0.010550,0.970621,1.381197,0.971224,0.133249,0
0.010600,0.970691,1.410908,0.926881,0.143046,0
0.010650,0.970761,1.439201,0.881643,0.152721,0
0.010700,0.970830,1.466050,0.835553,0.162266,0
0.010750,0.970899,1.491430,0.788659,0.171671,0
0.010800,0.970969,1.515317,0.741007,0.180927,0
0.010850,0.971037,1.537689,0.692644,0.190024,0
0.010900,0.971106,1.558524,0.643619,0.198953,0
0.010950,0.971175,1.577805,0.593978,0.207707,0
0.011000,0.971243,1.595512,0.543773,0.216275,0
0.011050,0.971311,1.611630,0.493051,0.224650,0
0.011100,0.971380,1.626145,0.441864,0.232824,0
0.011150,0.971448,1.639042,0.390261,0.240788,0
0.011200,0.971515,1.650311,0.338293,0.248534,0
0.011250,0.971583,1.659941,0.286011,0.256055,0
0.011300,0.971650,1.667925,0.233467,0.263343,0
0.011350,0.971718,1.674255,0.180712,0.270392,0
0.011400,0.971785,1.678925,0.127798,0.277194,0
0.011450,0.971852,1.681934,0.074775,0.283742,0
0.011500,0.971919,1.683277,0.021698,0.290031,0
0.011550,0.971985,1.682956,-0.031384,0.296053,0
0.011600,0.972052,1.680970,-0.084418,0.301803,0
0.011650,0.972118,1.677324,-0.137352,0.307276,0
0.011700,0.972184,1.672021,-0.190134,0.312465,0
0.011750,0.972250,1.665066,-0.242714,0.317366,0
0.011800,0.972316,1.656469,-0.295040,0.321974,0
0.011850,0.972382,1.646237,-0.347061,0.326284,0
0.011900,0.972447,1.634381,-0.398726,0.330293,0
0.011950,0.972513,1.620914,-0.449985,0.333995,0
0.012000,0.972578,1.605849,-0.500789,0.337388,0
0.012050,0.972643,1.589201,-0.551087,0.340468,0
0.012100,0.972708,1.570988,-0.600831,0.343233,0
0.012150,0.972773,1.551228,-0.649972,0.345678,0
0.012200,0.972838,1.529939,-0.698463,0.347803,0
0.012250,0.972902,1.507144,-0.746256,0.349604,0
0.012300,0.972966,1.482866,-0.793305,0.351081,0
0.012350,0.973031,1.457128,-0.839565,0.352231,0
0.012400,0.973095,1.429955,-0.884989,0.353054,0
0.012450,0.973158,1.401375,-0.929535,0.353548,0
0.012500,0.973222,1.371416,-0.973158,0.353714,0
0.012550,0.973286,1.340108,-1.015817,0.353550,0
0.012600,0.973349,1.307480,-1.057470,0.353058,0
0.012650,0.973412,1.273566,-1.098076,0.352238,0
0.012700,0.973476,1.238399,-1.137595,0.351090,0
0.012750,0.973539,1.202012,-1.175990,0.349615,0
0.012800,0.973601,1.164443,-1.213223,0.347816,0
0.012850,0.973664,1.125728,-1.249257,0.345693,0
0.012900,0.973727,1.085904,-1.284058,0.343250,0
0.012950,0.973789,1.045011,-1.317592,0.340488,0
0.013000,0.973851,1.003090,-1.349826,0.337410,0
0.013050,0.973913,0.960180,-1.380728,0.334019,0
0.013100,0.973975,0.916324,-1.410269,0.330319,0
0.013150,0.974037,0.871565,-1.438419,0.326312,0
0.013200,0.974099,0.825947,-1.465151,0.322004,0
0.013250,0.974160,0.779515,-1.490439,0.317398,0
0.013300,0.974221,0.732314,-1.514259,0.312499,0
0.013350,0.974283,0.684390,-1.536586,0.307312,0
0.013400,0.974344,0.635790,-1.557399,0.301842,0
0.013450,0.974405,0.586562,-1.576679,0.296094,0
0.013500,0.974465,0.536753,-1.594404,0.290074,0
0.013550,0.974526,0.486414,-1.610560,0.283787,0
0.013600,0.974586,0.435593,-1.625129,0.277241,0
0.013650,0.974647,0.384339,-1.638097,0.270441,0
0.013700,0.974707,0.332704,-1.649451,0.263395,0
0.013750,0.974767,0.280737,-1.659181,0.256109,0
