time_s,reference_a,current_a,u_i,u1_true,u1_meas,duty,feedforward,control_dt
0.008700,0.175000,0.142698,0.108016,-5.831749,-5.831749,-0.238489,1,0.000050
0.008750,0.176000,0.143627,0.108493,-5.656854,-5.656854,-0.231182,1,0.000050
0.008800,0.177000,0.144556,0.108969,-5.476377,-5.476377,-0.223642,1,0.000050
0.008850,0.178000,0.145485,0.109446,-5.290495,-5.290495,-0.215877,1,0.000050
0.008900,0.179000,0.146414,0.109923,-5.099392,-5.099392,-0.207895,1,0.000050
0.008950,0.180000,0.147344,0.110399,-4.903256,-4.903256,-0.199702,1,0.000050
0.009000,0.181000,0.148274,0.110876,-4.702282,-4.702282,-0.191309,1,0.000050
0.009050,0.182000,0.149205,0.111353,-4.496667,-4.496667,-0.182721,1,0.000050
0.009100,0.183000,0.150135,0.111831,-4.286614,-4.286614,-0.173949,1,0.000050
0.009150,0.184000,0.151066,0.112308,-4.072331,-4.072331,-0.165001,1,0.000050
0.009200,0.185000,0.151998,0.112785,-3.854029,-3.854029,-0.155885,1,0.000050
0.009250,0.186000,0.152929,0.113263,-3.631924,-3.631924,-0.146611,1,0.000050
0.009300,0.187000,0.153861,0.113740,-3.406234,-3.406234,-0.137187,1,0.000050
0.009350,0.188000,0.154793,0.114218,-3.177183,-3.177183,-0.127624,1,0.000050
0.009400,0.189000,0.155726,0.114695,-2.944996,-2.944996,-0.117929,1,0.000050
0.009450,0.190000,0.156659,0.115173,-2.709903,-2.709903,-0.108114,1,0.000050
0.009500,0.191000,0.157592,0.115651,-2.472136,-2.472136,-0.098187,1,0.000050
0.009550,0.192000,0.158525,0.116129,-2.231929,-2.231929,-0.088158,1,0.000050
0.009600,0.193000,0.159459,0.116607,-1.989519,-1.989519,-0.078038,1,0.000050
0.009650,0.194000,0.160392,0.117085,-1.745146,-1.745146,-0.067836,1,0.000050
0.009700,0.195000,0.161327,0.117564,-1.499051,-1.499051,-0.057562,1,0.000050
0.009750,0.196000,0.162261,0.118042,-1.251476,-1.251476,-0.047226,1,0.000050
0.009800,0.197000,0.163196,0.118520,-1.002666,-1.002666,-0.036839,1,0.000050
0.009850,0.198000,0.164131,0.118999,-0.752867,-0.752867,-0.026411,1,0.000050
0.009900,0.199000,0.165066,0.119478,-0.502324,-0.502324,-0.015952,1,0.000050
0.009950,0.200000,0.166002,0.119956,-0.251286,-0.251286,-0.005472,1,0.000050
0.010000,0.201000,0.166938,0.120435,-0.000000,-0.000000,0.005018,1,0.000050
0.010050,0.202000,0.167874,0.120914,0.251286,0.251286,0.015508,1,0.000050
0.010100,0.203000,0.168810,0.121393,0.502324,0.502324,0.025988,1,0.000050
0.010150,0.204000,0.169747,0.121872,0.752867,0.752867,0.036447,1,0.000050
0.010200,0.205000,0.170684,0.122351,1.002666,1.002666,0.046876,1,0.000050
0.010250,0.206000,0.171621,0.122831,1.251476,1.251476,0.057263,1,0.000050
0.010300,0.207000,0.172559,0.123310,1.499051,1.499051,0.067598,1,0.000050
0.010350,0.208000,0.173496,0.123789,1.745146,1.745146,0.077872,1,0.000050
0.010400,0.209000,0.174434,0.124269,1.989519,1.989519,0.088075,1,0.000050
0.010450,0.210000,0.175373,0.124749,2.231929,2.231929,0.098195,1,0.000050
0.010500,0.211000,0.176311,0.125228,2.472136,2.472136,0.108224,1,0.000050
0.010550,0.212000,0.177250,0.125708,2.709903,2.709903,0.118150,1,0.000050
0.010600,0.213000,0.178189,0.126188,2.944996,2.944996,0.127966,1,0.000050
0.010650,0.214000,0.179128,0.126668,3.177183,3.177183,0.137660,1,0.000050
0.010700,0.215000,0.180068,0.127148,3.406234,3.406234,0.147224,1,0.000050
0.010750,0.216000,0.181008,0.127628,3.631924,3.631924,0.156648,1,0.000050
0.010800,0.217000,0.181948,0.128108,3.854029,3.854029,0.165922,1,0.000050
0.010850,0.218000,0.182888,0.128589,4.072331,4.072331,0.175038,1,0.000050
0.010900,0.219000,0.183829,0.129069,4.286614,4.286614,0.183987,1,0.000050
0.010950,0.220000,0.184770,0.129549,4.496667,4.496667,0.192759,1,0.000050
0.011000,0.221000,0.185711,0.130030,4.702282,4.702282,0.201346,1,0.000050
0.011050,0.222000,0.186652,0.130511,4.903256,4.903256,0.209740,1,0.000050
0.011100,0.223000,0.187594,0.130991,5.099392,5.099392,0.217933,1,0.000050
