time_s,i_alpha,id,iq,duty,use_park
0.018350,0.473284,1.008641,-0.079280,-0.230832,1
0.018400,0.500896,1.008054,-0.079185,-0.225563,1
0.018450,0.528008,1.007464,-0.079052,-0.220072,1
0.018500,0.554593,1.006871,-0.078881,-0.214364,1
0.018550,0.580624,1.006279,-0.078672,-0.208446,1
0.018600,0.606075,1.005690,-0.078425,-0.202322,1
0.018650,0.630922,1.005107,-0.078140,-0.195999,1
0.018700,0.655139,1.004532,-0.077819,-0.189484,1
0.018750,0.678702,1.003967,-0.077460,-0.182781,1
0.018800,0.701588,1.003414,-0.077066,-0.175899,1
0.018850,0.723774,1.002877,-0.076637,-0.168844,1
0.018900,0.745238,1.002356,-0.076173,-0.161623,1
0.018950,0.765958,1.001855,-0.075677,-0.154242,1
0.019000,0.785915,1.001376,-0.075149,-0.146710,1
0.019050,0.805087,1.000919,-0.074591,-0.139034,1
0.019100,0.823457,1.000488,-0.074004,-0.131221,1
0.019150,0.841005,1.000085,-0.073390,-0.123278,1
0.019200,0.857714,0.999710,-0.072750,-0.115215,1
0.019250,0.873568,0.999365,-0.072087,-0.107038,1
0.019300,0.888551,0.999053,-0.071403,-0.098756,1
0.019350,0.902648,0.998773,-0.070699,-0.090376,1
0.019400,0.915845,0.998529,-0.069978,-0.081908,1
0.019450,0.928128,0.998319,-0.069242,-0.073360,1
0.019500,0.939487,0.998146,-0.068493,-0.064739,1
0.019550,0.949908,0.998011,-0.067733,-0.056055,1
0.019600,0.959383,0.997913,-0.066965,-0.047316,1
0.019650,0.967901,0.997854,-0.066192,-0.038530,1
0.019700,0.975455,0.997833,-0.065416,-0.029707,1
0.019750,0.982036,0.997851,-0.064639,-0.020854,1
0.019800,0.987638,0.997909,-0.063863,-0.011982,1
0.019850,0.992256,0.998005,-0.063092,-0.003097,1
0.019900,0.995885,0.998139,-0.062327,0.005790,1
0.019950,0.998521,0.998312,-0.061572,0.014672,1
0.020000,1.000163,0.998521,-0.060828,0.023538,1
0.020050,1.000808,0.998768,-0.060098,0.032382,1
0.020100,1.000455,0.999050,-0.059384,0.041193,1
0.020150,0.999106,0.999367,-0.058688,0.049963,1
0.020200,0.996761,0.999718,-0.058013,0.058684,1
0.020250,0.993423,1.000101,-0.057361,0.067347,1
0.020300,0.989095,1.000514,-0.056734,0.075944,1
0.020350,0.983782,1.000957,-0.056133,0.084466,1
0.020400,0.977489,1.001427,-0.055561,0.092904,1
0.020450,0.970223,1.001922,-0.055019,0.101250,1
0.020500,0.961989,1.002441,-0.054508,0.109497,1
0.020550,0.952798,1.002982,-0.054031,0.117635,1
0.020600,0.942658,1.003543,-0.053589,0.125658,1
0.020650,0.931578,1.004121,-0.053182,0.133556,1
0.020700,0.919571,1.004713,-0.052812,0.141323,1
0.020750,0.906649,1.005319,-0.052480,0.148950,1
0.020800,0.892823,1.005935,-0.052187,0.156430,1
0.020850,0.878109,1.006559,-0.051932,0.163757,1
0.020900,0.862520,1.007188,-0.051717,0.170921,1
0.020950,0.846072,1.007820,-0.051542,0.177917,1
0.021000,0.828782,1.008453,-0.051407,0.184738,1
0.021050,0.810667,1.009083,-0.051312,0.191377,1
0.021100,0.791745,1.009709,-0.051257,0.197827,1
0.021150,0.772034,1.010328,-0.051242,0.204082,1
0.021200,0.751556,1.010937,-0.051265,0.210135,1
0.021250,0.730329,1.011534,-0.051327,0.215982,1
0.021300,0.708375,1.012116,-0.051426,0.221615,1
0.021350,0.685717,1.012682,-0.051561,0.227031,1
0.021400,0.662376,1.013229,-0.051732,0.232222,1
0.021450,0.638376,1.013754,-0.051938,0.237185,1
0.021500,0.613741,1.014257,-0.052176,0.241913,1
0.021550,0.588495,1.014733,-0.052445,0.246404,1
0.021600,0.562664,1.015183,-0.052744,0.250651,1
0.021650,0.536273,1.015603,-0.053071,0.254651,1
0.021700,0.509349,1.015992,-0.053423,0.258401,1
0.021750,0.481918,1.016349,-0.053800,0.261896,1
0.021800,0.454008,1.016672,-0.054199,0.265132,1
0.021850,0.425647,1.016959,-0.054617,0.268108,1
0.021900,0.396863,1.017211,-0.055053,0.270819,1
0.021950,0.367684,1.017424,-0.055504,0.273263,1
0.022000,0.338139,1.017600,-0.055967,0.275438,1
0.022050,0.308259,1.017736,-0.056441,0.277342,1
0.022100,0.278073,1.017833,-0.056923,0.278972,1
0.022150,0.247610,1.017889,-0.057410,0.280328,1
0.022200,0.216902,1.017905,-0.057899,0.281407,1
0.022250,0.185978,1.017881,-0.058389,0.282209,1
0.022300,0.154870,1.017816,-0.058876,0.282733,1
0.022350,0.123609,1.017711,-0.059358,0.282978,1
0.022400,0.092225,1.017566,-0.059833,0.282944,1
0.022450,0.060750,1.017382,-0.060298,0.282632,1
0.022500,0.029215,1.017160,-0.060750,0.282041,1
0.022550,-0.002348,1.016900,-0.061187,0.281173,1
0.022600,-0.033907,1.016603,-0.061607,0.280027,1
0.022650,-0.065433,1.016271,-0.062007,0.278605,1
0.022700,-0.096892,1.015904,-0.062386,0.276909,1
0.022750,-0.128255,1.015505,-0.062740,0.274940,1
0.022800,-0.159489,1.015075,-0.063068,0.272700,1
0.022850,-0.190563,1.014615,-0.063369,0.270192,1
0.022900,-0.221447,1.014128,-0.063639,0.267417,1
0.022950,-0.252110,1.013615,-0.063879,0.264379,1
