time_s,reference_a,current_a,u_i,u1,duty,feedforward
0.053600,1.000000,-1.774427,6.661742,6.164106,0.277573,0
0.053800,1.000000,-1.585226,6.481172,5.476377,0.270049,0
0.054000,1.000000,-1.355575,6.206179,4.702282,0.258591,0
0.054200,1.000000,-1.089089,5.841100,3.854029,0.243379,0
0.054400,1.000000,-0.789965,5.391692,2.944996,0.224654,0
0.054600,1.000000,-0.462915,4.865043,1.989519,0.202710,0
0.054800,1.000000,-0.113090,4.269458,1.002666,0.177894,0
0.055000,1.000000,0.253998,3.614332,-0.000000,0.150597,0
0.055200,1.000000,0.632564,2.909996,-1.002666,0.121250,0
0.055400,1.000000,1.016644,2.167561,-1.989519,0.090315,0
0.055600,1.000000,1.400185,1.398736,-2.944996,0.058281,0
0.055800,1.000000,1.777143,0.615646,-3.854029,0.025652,0
0.056000,1.000000,2.141579,-0.169356,-4.702282,-0.007057,0
0.056200,1.000000,2.487749,-0.943890,-5.476377,-0.039329,0
0.056400,1.000000,2.810198,-1.695739,-6.164106,-0.070656,0
0.056600,1.000000,3.103846,-2.413046,-6.754623,-0.100544,0
0.056800,1.000000,3.364065,-3.084495,-7.238616,-0.128521,0
0.057000,1.000000,3.586758,-3.699498,-7.608452,-0.154146,0
0.057200,1.000000,3.768414,-4.248352,-7.858298,-0.177015,0
0.057400,1.000000,3.906175,-4.722402,-7.984214,-0.196767,0
0.057600,1.000000,3.997870,-5.114170,-7.984214,-0.213090,0
0.057800,1.000000,4.042059,-5.417476,-7.858298,-0.225728,0
0.058000,1.000000,4.038048,-5.627536,-7.608452,-0.234481,0
0.058200,1.000000,3.985903,-5.741035,-7.238616,-0.239210,0
0.058400,1.000000,3.886452,-5.756183,-6.754623,-0.239841,0
0.058600,1.000000,3.741266,-5.672739,-6.164106,-0.236364,0
0.058800,1.000000,3.552639,-5.492018,-5.476377,-0.228834,0
0.059000,1.000000,3.323549,-5.216868,-4.702282,-0.217370,0
0.059200,1.000000,3.057611,-4.851629,-3.854029,-0.202151,0
0.059400,1.000000,2.759024,-4.402059,-2.944996,-0.183419,0
0.059600,1.000000,2.432500,-3.875246,-1.989519,-0.161469,0
0.059800,1.000000,2.083192,-3.279498,-1.002666,-0.136646,0
0.060000,1.000000,1.716612,-2.624209,0.000000,-0.109342,0
0.060200,1.000000,1.338543,-1.919713,1.002666,-0.079988,0
0.060400,1.000000,0.954952,-1.177118,1.989519,-0.049047,0
0.060600,1.000000,0.571892,-0.408134,2.944996,-0.017006,0
0.060800,1.000000,0.195405,0.375112,3.854029,0.015630,0
0.061000,1.000000,-0.168566,1.160268,4.702282,0.048345,0
0.061200,1.000000,-0.514280,1.934954,5.476377,0.080623,0
0.061400,1.000000,-0.836282,2.686953,6.164106,0.111956,0
0.061600,1.000000,-1.129489,3.404407,6.754623,0.141850,0
0.061800,1.000000,-1.389276,4.076002,7.238616,0.169833,0
0.062000,1.000000,-1.611543,4.691147,7.608452,0.195464,0
0.062200,1.000000,-1.792781,5.240142,7.858298,0.218339,0
0.062400,1.000000,-1.930131,5.714330,7.984214,0.238097,0
0.062600,1.000000,-2.021422,6.106234,7.984214,0.254426,0
0.062800,1.000000,-2.065213,6.409674,7.858298,0.267070,0
0.063000,1.000000,-2.060811,6.619865,7.608452,0.275828,0
0.063200,1.000000,-2.008283,6.733493,7.238616,0.280562,0
0.063400,1.000000,-1.908455,6.748768,6.754623,0.281199,0
0.063600,1.000000,-1.762898,6.665449,6.164106,0.277727,0
0.063800,1.000000,-1.573905,6.484851,5.476377,0.270202,0
0.064000,1.000000,-1.344456,6.209823,4.702282,0.258743,0
0.064200,1.000000,-1.078166,5.844702,3.854029,0.243529,0
0.064400,1.000000,-0.779232,5.395249,2.944996,0.224802,0
0.064600,1.000000,-0.452368,4.868551,1.989519,0.202856,0
0.064800,1.000000,-0.102724,4.272916,1.002666,0.178038,0
0.065000,1.000000,0.264186,3.617738,-0.000000,0.150739,0
0.065200,1.000000,0.642578,2.913351,-1.002666,0.121390,0
0.065400,1.000000,1.026488,2.170863,-1.989519,0.090453,0
0.065600,1.000000,1.409861,1.401985,-2.944996,0.058416,0
0.065800,1.000000,1.786655,0.618843,-3.854029,0.025785,0
0.066000,1.000000,2.150930,-0.166212,-4.702282,-0.006925,0
0.066200,1.000000,2.496941,-0.940797,-5.476377,-0.039200,0
0.066400,1.000000,2.819235,-1.692698,-6.164106,-0.070529,0
0.066600,1.000000,3.112730,-2.410055,-6.754623,-0.100419,0
0.066800,1.000000,3.372800,-3.081554,-7.238616,-0.128398,0
0.067000,1.000000,3.595344,-3.696606,-7.608452,-0.154025,0
0.067200,1.000000,3.776856,-4.245509,-7.858298,-0.176896,0
0.067400,1.000000,3.914474,-4.719606,-7.984214,-0.196650,0
0.067600,1.000000,4.006030,-5.111421,-7.984214,-0.212976,0
0.067800,1.000000,4.050081,-5.414774,-7.858298,-0.225616,0
0.068000,1.000000,4.045934,-5.624879,-7.608452,-0.234370,0
0.068200,1.000000,3.993657,-5.738423,-7.238616,-0.239101,0
0.068400,1.000000,3.894075,-5.753614,-6.754623,-0.239734,0
0.068600,1.000000,3.748760,-5.670213,-6.164106,-0.236259,0
0.068800,1.000000,3.560006,-5.489535,-5.476377,-0.228731,0
0.069000,1.000000,3.330791,-5.214428,-4.702282,-0.217268,0
0.069200,1.000000,3.064732,-4.849229,-3.854029,-0.202051,0
0.069400,1.000000,2.766025,-4.399700,-2.944996,-0.183321,0
0.069600,1.000000,2.439383,-3.872927,-1.989519,-0.161372,0
0.069800,1.000000,2.089959,-3.277218,-1.002666,-0.136551,0
0.070000,1.000000,1.723264,-2.621968,0.000000,-0.109249,0
0.070200,1.000000,1.345083,-1.917509,1.002666,-0.079896,0
0.070400,1.000000,0.961382,-1.174951,1.989519,-0.048956,0
0.070600,1.000000,0.578213,-0.406004,2.944996,-0.016917,0
0.070800,1.000000,0.201620,0.377206,3.854029,0.015717,0
0.071000,1.000000,-0.162457,1.162327,4.702282,0.048430,0
0.071200,1.000000,-0.508274,1.936978,5.476377,0.080707,0
0.071400,1.000000,-0.830376,2.688943,6.164106,0.112039,0
0.071600,1.000000,-1.123683,3.406364,6.754623,0.141932,0
0.071800,1.000000,-1.383568,4.077925,7.238616,0.169914,0
0.072000,1.000000,-1.605931,4.693038,7.608452,0.195543,0
0.072200,1.000000,-1.787264,5.242001,7.858298,0.218417,0
0.072400,1.000000,-1.924707,5.716158,7.984214,0.238173,0
0.072600,1.000000,-2.016090,6.108031,7.984214,0.254501,0
0.072800,1.000000,-2.059971,6.411440,7.858298,0.267143,0
